,text,text
source_clean,b'Twitter for Android',b'Twitter for iPhone'
hour,,
1,,1.0
6,1.0,
7,,1.0
10,,1.0
17,,1.0
18,1.0,
19,,1.0
20,1.0,1.0
21,1.0,
