,created_date,week,sentiment.compound,id,text-encoded
0,2017-06-05 20:45:05,23,0.922,871830255396192256,".@SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best! 
... https://t.co/RnNp9q7Tdh"
1,2017-06-06 17:47:33,23,0.7506,872147965451882496,Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDay... https://t.co/zhR24dMzYB
2,2017-06-07 12:17:13,23,0.729,872427222392504320,"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare &amp; also Infrastructure!"
3,2017-06-05 10:44:18,23,0.7088,871679061847879682,In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!
4,2017-06-05 10:37:59,23,0.6588,871677472202477568,The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - &amp; seek much tougher version!
5,2017-06-07 00:06:50,23,0.6249,872243414930264065,"Great meeting with @HouseGOP and @SenateGOP leaders, including @SpeakerRyan, @SenateMajLdr, @GOPLeader, @JohnCornyn... https://t.co/G03W8CEtCS"
6,2017-06-07 01:07:39,23,0.5411,872258719404482561,Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We cant tolerate substandard care for our vets.
7,2017-06-06 12:15:36,23,0.4215,872064426568036353,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH"
8,2017-06-06 13:36:50,23,0.4201,872084870620520448,So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...
9,2017-06-04 11:43:30,23,0.3244,871331574649901056,Do you notice we are not having a gun debate right now? That's because they used knives and a truck!
10,2017-06-05 10:29:08,23,0.2732,871675245043888128,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C."
11,2017-06-07 11:44:37,23,0.0,872419018799550464,"I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow."
12,2017-06-07 00:44:56,23,0.0,872253002266161153,"#ICYMI: Announcement of Air Traffic Control Initiative 

Watchhttps://t.co/IMiZr22gAw"
13,2017-06-06 10:41:25,23,0.0,872040726120550404,RT @foxandfriends: Sen. Ted Cruz: Trump's air traffic control plan is a 'win-win' for Democrats and Republicans https://t.co/TsggUEfOO2
14,2017-06-05 21:25:16,23,0.0,871840367070412800,"Today, I announced an Air Traffic Control Initiative to take American air travel into the future - finally!
... https://t.co/NIIorkSRJN"
15,2017-06-05 13:35:00,23,-0.1593,871722020278587393,".@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals."
16,2017-06-06 12:06:35,23,-0.3595,872062159789985792,During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!
17,2017-06-06 10:51:39,23,-0.4389,872043300949295104,Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!
18,2017-06-04 11:19:47,23,-0.6319,871325606901895168,We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse
19,2017-06-06 10:43:17,23,-0.6448,872041195618349056,"RT @foxandfriends: FOX NEWS ALERT: ISIS claims responsibility for hostage siege in Melbourne, Australia that killed 1 person and injured 3..."
20,2017-06-06 11:58:00,23,-0.7269,872059997429022722,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.
21,2017-06-05 10:25:02,23,-0.7987,871674214356484096,"People, the lawyers and the courts can call it whatever they want, but I am calling it what we need and what it is, a TRAVEL BAN!"
22,2017-06-05 13:49:56,23,-0.8268,871725780535062528,"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!"
23,2017-06-06 13:44:55,23,-0.8622,872086906804240384,"...extremism, and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism!"
24,2017-06-06 01:20:17,23,-0.8957,871899511525961728,"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!"
25,2017-06-04 11:31:00,23,-0.923,871328428963901440,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!"""
26,2017-06-03 23:24:45,22,0.9034,871145660036378624,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!"
27,2017-05-29 12:35:34,22,0.8908,869170351049240576,"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families &amp; God bless the USA!"
28,2017-06-02 10:34:42,22,0.8885,870589482675916800,RT @LindseyGrahamSC: I support President Trumps desire to re-enter the Paris Accord after the agreement becomes a better deal for America...
29,2017-05-29 12:11:59,22,0.875,869164414662049793,"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDay"
30,2017-05-31 13:05:14,22,0.8126,869902591005741056,"Hopefully Republican Senators, good people all, can quickly get together and pass a new (repeal &amp; replace) HEALTHCARE bill. Add saved $'s."
31,2017-05-31 10:09:22,22,0.7803,869858333477523458,"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!"
32,2017-05-31 21:52:54,22,0.7351,870035383458963456,"It was an honor to welcome the Prime Minister of Vietnam, Nguyen Xuan Phuc to the @WhiteHouse this afternoon. https://t.co/6YbrIvJUCY"
33,2017-06-01 01:05:17,22,0.729,870083798981111808,"I will be announcing my decision on Paris Accord, Thursday at 3:00 P.M.  The White House Rose Garden.  MAKE AMERICA GREAT AGAIN!"
34,2017-05-31 13:08:41,22,0.729,869903459511918592,I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!
35,2017-05-29 12:36:37,22,0.6908,869170615881793536,I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.
36,2017-06-02 01:00:35,22,0.6588,870445001125355522,MAKE AMERICA GREAT AGAIN!
37,2017-05-29 00:07:01,22,0.6468,868981969664843777,"The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well, actually ahead of schedule. Big benefits to all!"
38,2017-06-02 10:33:37,22,0.6369,870589212978032640,RT @Reince45: Promise kept. @POTUS exits flawed #ParisAccord to seek better deal for U.S. workers &amp; economy. This WH will always put #Ameri...
39,2017-05-28 12:02:05,22,0.6239,868799536420065281,Big win in Montana for Republicans!
40,2017-05-28 11:57:20,22,0.6239,868798339676086273,Big win in Montana for Republicans! We
41,2017-05-28 12:10:43,22,0.6114,868801710038372352,Just returned from Europe. Trip was a great success for America. Hard work but big results!
42,2017-05-28 23:57:19,22,0.4753,868979531641741313,I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!
43,2017-05-28 11:57:20,22,0.3512,868798339671830529,"Just arrived in Italy after having a very successful NATO meeting in Brussels. Told other nations they must pay more, not fair to  U.S."
44,2017-06-03 23:17:13,22,0.3382,871143765473406976,"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!"
45,2017-05-31 20:04:45,22,0.3182,870008165827575808,"We traveled the world to strengthen long-standing alliances, and to form new partnerships. See more at:... https://t.co/FT4kyPoAl0"
46,2017-05-30 14:00:50,22,0.3182,869554194658844673,RT @Scavino45: President Trump pays respects and  delivers #MemorialDay remarks at Arlington National Cemetery. https://t.co/D5rl948J6u
47,2017-06-01 19:03:10,22,0.296,870355056327000065,"Join me live at the @WhiteHouse.

https://t.co/9VOb99W42r https://t.co/sjb5VHLHYH"
48,2017-05-29 12:18:52,22,0.2942,869166145894535169,"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!"
49,2017-06-02 10:31:03,22,0.2732,870588565595578370,"RT @VP: Our President is choosing to put American jobs, American consumers, American energy, and American industry first. https://t.co/y2Op..."
50,2017-06-01 22:50:29,22,0.2023,870412262900740096,"My job as President is to do everything within my power to give America a level playing field. #AmericaFirst
... https://t.co/hL7OwbWzyi"
51,2017-05-28 12:45:45,22,0.1531,868810522942164993,Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered
52,2017-05-28 12:40:33,22,0.1531,868809214365487104,Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered
53,2017-06-03 19:35:33,22,0.0,871087981225926656,#WeeklyAddress https://t.co/DNzRZiKxhd
54,2017-06-02 18:30:41,22,0.0,870709271477932032,"#MakeAmericaGreatAgain
https://t.co/eJxeVZ3A1r"
55,2017-06-02 10:40:22,22,0.0,870590911222349824,RT @EricTrump: #MakeAmericaGreatAgain!!!  https://t.co/MStWl628xe
56,2017-06-02 10:35:32,22,0.0,870589692294647808,RT @HeyTammyBruce: Coming up at 720a ET on @foxandfriends! See you there!  #maga
57,2017-06-02 10:08:24,22,0.0,870582867084050432,RT @foxandfriends: Wall Street hits record highs after Trump pulls out of Climate pact https://t.co/PDmwj13Lus
58,2017-06-01 11:05:21,22,0.0,870234811616677889,"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration."
59,2017-05-30 14:01:16,22,0.0,869554306806157312,"RT @foxandfriends: Jared Kushner didn't suggest Russian communications channel in meeting, source says https://t.co/nF6bM1FEt1"
60,2017-06-02 10:32:39,22,-0.0258,870588968475275264,RT @GOPLeader: .@POTUS made the right call in leaving a deal that would have put an unnecessary burden on the United States. https://t.co/q...
61,2017-05-31 10:37:42,22,-0.0572,869865463584620544,"So now it is reported that the Democrats, who have excoriated Carter Page about Russia, don't want him to testify. He blows away their...."
62,2017-05-30 13:59:28,22,-0.3016,869553853750013953,"The U.S. Senate should switch to 51 votes, immediately, and get Healthcare and TAX CUTS approved, fast and easy. Dems would do it, no doubt!"
63,2017-05-28 12:33:03,22,-0.4215,868807327130025984,It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.
64,2017-05-31 10:45:27,22,-0.4389,869867413776601088,"...case against him &amp; now wants to clear his name by showing ""the false or misleading testimony by James Comey, John Brennan..."" Witch Hunt!"
65,2017-05-28 12:34:44,22,-0.4767,868807754231820291,"Whenever you see the words 'sources say' in the fake news media, and they don't mention names...."
66,2017-06-02 10:32:10,22,-0.5267,870588844793581569,RT @Jim_Jordan: President Trump did the right thing by withdrawing us from Paris treaty - it would hurt American companies and American wor...
67,2017-05-31 04:06:25,22,-0.5719,869766994899468288,Despite the constant negative press covfefe
68,2017-05-30 11:04:48,22,-0.5719,869509894688387072,Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.
69,2017-06-01 00:40:01,22,-0.7184,870077441401905152,"Crooked Hillary Clinton now blames everybody but herself, refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC."
