,text,text,text
source,Media Studio,Twitter for Android,Twitter for iPhone
year_week,,,
2017-03,,1.0,
2017-04,,1.0,1.0
2017-06,,2.0,
2017-07,,1.0,
2017-08,,1.0,
2017-09,,2.0,
2017-10,,3.0,2.0
2017-11,,,4.0
2017-12,,1.0,1.0
2017-13,,,3.0
2017-14,,,2.0
2017-15,,,2.0
2017-16,,,5.0
2017-17,,,4.0
2017-18,,,2.0
2017-19,,,2.0
2017-22,,,3.0
2017-23,,,4.0
2017-24,,,4.0
2017-25,,,6.0
2017-26,,,7.0
2017-27,,,1.0
2017-28,,,9.0
2017-29,,,1.0
2017-30,1.0,,3.0
2017-31,,,10.0
2017-32,,,13.0
2017-33,,,9.0
2017-34,,,1.0
2017-35,,,2.0
2017-38,,,1.0
2017-39,,,2.0
2017-40,,,3.0
2017-41,,,7.0
2017-42,1.0,,3.0
2017-43,,,7.0
2017-44,,,4.0
2017-46,,,1.0
2017-47,,,3.0
2017-48,,,4.0
2017-49,,,4.0
2017-50,,,1.0
2017-51,,,4.0
2017-52,,,4.0
2018-01,,,3.0
2018-02,,,4.0
2018-03,,,7.0
2018-04,,,1.0
2018-05,,,2.0
2018-06,,,1.0
2018-07,,,4.0
2018-08,,,6.0
2018-09,,,1.0
2018-11,,,2.0
2018-12,,,1.0
2018-14,,,1.0
2018-15,,,1.0
2018-16,,,6.0
2018-17,,,2.0
2018-19,,,1.0
2018-20,,,4.0
2018-21,,,7.0
2018-22,,,2.0
2018-23,,,7.0
2018-24,,,2.0
2018-25,,,7.0
2018-26,,,1.0
2018-27,,,2.0
2018-28,,,2.0
2018-29,,,2.0
2018-30,,,3.0
2018-31,,,1.0
2018-32,,,5.0
