,text
source,Twitter for iPhone
year_week,
2017-49,1
2018-11,4
2018-14,3
2018-21,1
2018-22,2
2018-23,1
2018-24,4
2018-25,3
2018-29,4
2018-30,6
2018-31,1
2018-32,3
