,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,month,,,,,,
2017,01,,,,,,
2017,02,,,,,,
2017,03,,,,,,
2017,04,,,,,,
2017,05,,,,,,4.0
2017,06,,,,,,5.0
2017,07,,,,,,1.0
2017,08,,,,,,3.0
2017,09,,,,,,1.0
2017,10,,,,,,5.0
2017,11,,,,,,2.0
2017,12,,,,,,2.0
2018,01,,,,,,3.0
2018,02,,,,,,8.0
2018,03,,,,,,8.0
2018,04,,,,,,9.0
2018,05,,,,,,13.0
2018,06,,,,,,10.0
2018,07,,,,,,8.0
2018,08,,,,,,25.0
