,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,month,,,,,,
2017,01,,,,,,
2017,02,,,,,,2.0
2017,03,,,,3.0,,1.0
2017,04,,,,,,
2017,05,,,,,,
2017,06,,,,,,
2017,07,,,,,,3.0
2017,08,,,,,,
2017,09,,,,,,
2017,10,,,,,,
2017,11,,,,,,
2017,12,,,,,,
2018,01,,,,,,
2018,02,,,,,,2.0
2018,03,,,,,,
2018,04,,,,,,3.0
2018,05,,,,,,3.0
2018,06,,,,,,1.0
2018,07,,,,,,
2018,08,,,,,,6.0
