,text,text
source_clean,b'Twitter for Android',b'Twitter for iPhone'
hour,,
6,2.0,
7,1.0,1.0
8,3.0,2.0
9,,1.0
10,,1.0
11,1.0,2.0
16,2.0,
21,1.0,
22,1.0,
