created_date,week,sentiment.compound,text,id
2017-04-22 19:01:59,16,0.9432,"Today on Earth Day, we celebrate our beautiful forests, lakes and land. We stand committed to preserving the natural beauty of our nation.",855859245023211520
2017-04-20 01:34:10,16,0.9098,A great honor to host the @SuperBowl Champion New England @Patriots at the White House today. Congratulations!… https://t.co/tQ5XEPaIxn,854870777287634944
2017-04-22 16:05:37,16,0.8832,Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,855814859069558784
2017-04-17 12:13:17,16,0.8271,"A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles.",853944453538750464
2017-04-19 04:09:17,16,0.8252,"Despite major outside money, FAKE media support and eleven Republican candidates, BIG ""R"" win with runoff in Georgia. Glad to be of help!",854547423464759296
2017-04-20 21:35:05,16,0.8221,A great honor to host PM Paolo Gentiloni of Italy at the White House this afternoon! #ICYMI- Joint Press Conference… https://t.co/lJAvEZJV1F,855172998747348998
2017-04-17 00:45:01,16,0.75,"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!",853771244579282944
2017-04-22 21:49:10,16,0.7385,I am committed to keeping our air and water clean but always remember that economic growth enhances environmental protection. Jobs matter!,855901315305795584
2017-04-18 02:18:38,16,0.69,"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes &amp; safety!",854157191053553666
2017-04-21 20:22:14,16,0.6155,"WELCOME HOME, AYA!
#GodBlessTheUSA🇺🇸 https://t.co/CR4I8dvunc",855517053238870019
2017-04-16 13:07:11,16,0.6114,I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again?,853595628655587334
2017-04-16 12:24:49,16,0.6114,Happy Easter to everyone!,853584968047636480
2017-04-22 15:18:49,16,0.5994,RT @foxandfriends: Israeli PM Netanyahu praises U.S. policy changes during meeting with Defense. Sec Mattis https://t.co/v2C9oaq3uY,855803080310390784
2017-04-17 22:38:30,16,0.5904,"TRUMP APPROVAL HITS 50%
https://t.co/vjZkGTyQb9",854101790886948866
2017-04-17 13:35:27,16,0.5904,RT @DRUDGE_REPORT: TRUMP APPROVAL HITS 50% https://t.co/TruX3WzR3U,853965129024712704
2017-04-17 22:41:53,16,0.5848,"See you tomorrow Wisconsin!

'Trump spurs small-business optimism in Milwaukee area'
https://t.co/JUxhO3oqjO",854102644394254341
2017-04-18 09:48:10,16,0.5411,I will be interviewed on @foxandfriends by @ainsleyearhardt starting at 6:00 A.M. Enjoy!,854270321620287490
2017-04-22 03:38:00,16,0.4939,"After 5 SB victories since 2002, it was my honor to give Bob Kraft, Coach Belichick, and the players their first to… https://t.co/UZPKjqoGZY",855626715707650048
2017-04-19 20:26:45,16,0.4588,"Today I signed the Veterans (OUR HEROES) Choice Program Extension &amp; Improvement Act @ the @WhiteHouse. #S544 
Watch… https://t.co/0sMv4sPrmf",854793411110588418
2017-04-16 13:41:47,16,0.1759,"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!",853604334944354305
2017-04-17 13:31:03,16,0.1007,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",853964023846588420
2017-04-22 16:15:01,16,0.0,Big TAX REFORM AND TAX REDUCTION will be announced next Wednesday.,855817226078879748
2017-04-22 16:10:26,16,0.0,Next Saturday night I will be holding a BIG rally in Pennsylvania. Look forward to it!,855816071663812608
2017-04-22 00:19:58,16,0.0,"RT @Scavino45: .@POTUS @realDonaldTrump, @IvankaTrump, Jared Kushner, &amp; Dina Powell in the Oval Office today w/ Aya &amp; her brother Basel.
#W…",855576880048738304
2017-04-20 19:33:46,16,0.0,"We're going to use American steel, we're going to use American labor, we are going to come first in all deals. ➡️… https://t.co/QYjWx9K4YY",855142466034556928
2017-04-19 17:31:28,16,0.0,#BuyAmericanHireAmerican🇺🇸 https://t.co/JPEXQTVR1E,854749300114546688
2017-04-18 20:56:16,16,0.0,"#BuyAmericanHireAmerican🇺🇸
Watch➡️https://t.co/AUqYcrgeyn https://t.co/rf9aivVb7g",854438452661809152
2017-04-18 20:38:25,16,0.0,"Just learned that Jon @Ossoff, who is running for Congress in Georgia, doesn't even live in the district. Republicans, get out and vote!",854433960566431746
2017-04-16 13:13:26,16,0.0,Someone should look into who paid for the small organized rallies yesterday. The election is over!,853597199619543041
2017-04-21 10:11:27,16,-0.0516,RT @foxandfriends: NYT editor apologizes for misleading tweet about New England Patriots' visit to the White House (via @FoxFriendsFirst) h…,855363343607103489
2017-04-18 10:46:19,16,-0.1511,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.,854284952539725828
2017-04-17 12:07:16,16,-0.202,"""The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy!"" So true. @foxandfriends",853942936337350656
2017-04-22 00:43:21,16,-0.3612,"'Presidential Executive Order on Identifying and Reducing Tax Regulatory Burdens' 
Executive Order:… https://t.co/dpE6hDzlAt",855582764418162690
2017-04-22 15:18:11,16,-0.3818,"RT @foxandfriends: Chicago approves new plan to hide illegal immigrants from the feds, plus give them access to city services https://t.co/…",855802920956243969
2017-04-19 12:43:18,16,-0.4199,Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.,854676780527079425
2017-04-16 12:18:40,16,-0.4574,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,853583417916755968
2017-04-21 13:04:19,16,-0.4599,"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will",855406847200768000
