,text,text,text
source,Media Studio,Twitter for Android,Twitter for iPhone
hour,,,
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,3.0
6,0.0,3.0,37.0
7,0.0,1.0,63.0
8,0.0,2.0,34.0
9,0.0,0.0,17.0
10,0.0,1.0,6.0
11,0.0,0.0,2.0
12,0.0,0.0,3.0
13,0.0,0.0,3.0
14,1.0,0.0,3.0
15,0.0,1.0,3.0
16,0.0,1.0,4.0
17,0.0,0.0,6.0
18,0.0,0.0,9.0
19,0.0,1.0,7.0
20,1.0,0.0,10.0
21,0.0,2.0,11.0
22,0.0,0.0,11.0
23,0.0,0.0,4.0
