,text,text
source,Twitter for Android,Twitter for iPhone
hour,,
0,0.0,0.0
1,0.0,1.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,1.0
6,4.0,14.0
7,3.0,30.0
8,2.0,19.0
9,1.0,18.0
10,0.0,5.0
11,0.0,1.0
12,0.0,1.0
13,1.0,4.0
14,0.0,6.0
15,0.0,9.0
16,0.0,10.0
17,0.0,7.0
18,0.0,7.0
19,0.0,4.0
20,0.0,4.0
21,3.0,4.0
22,0.0,6.0
23,0.0,3.0
