,text,text
source_clean,b'Twitter for Android',b'Twitter for iPhone'
hour,,
0,,1.0
6,5.0,2.0
7,6.0,
8,6.0,7.0
9,5.0,2.0
10,,1.0
13,1.0,
15,,1.0
16,2.0,
17,1.0,
18,1.0,1.0
19,1.0,
20,1.0,1.0
21,1.0,1.0
22,1.0,
23,2.0,
