date,handle,text,url,exists
2017-01-23 11:38:16+00:00,realDonaldTrump,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,https://twitter.com/realDonaldTrump/status/823495059010109440,TRUE
2017-01-22 14:23:17+00:00,realDonaldTrump,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",https://twitter.com/realDonaldTrump/status/823174199036542980,TRUE
2017-01-22 12:51:36+00:00,realDonaldTrump,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",https://twitter.com/realDonaldTrump/status/823151124815507460,TRUE
2017-01-22 12:47:21+00:00,realDonaldTrump,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,https://twitter.com/realDonaldTrump/status/823150055418920960,TRUE
2017-01-22 12:35:09+00:00,realDonaldTrump,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",https://twitter.com/realDonaldTrump/status/823146987117772800,TRUE
2017-01-21 23:54:31+00:00,realDonaldTrump,"RT @WhiteHouse: ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""â€_",https://twitter.com/realDonaldTrump/status/822955565949272065,TRUE
2017-01-21 11:53:41+00:00,realDonaldTrump,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,https://twitter.com/realDonaldTrump/status/822774162011910144,TRUE
2017-01-21 04:56:15+00:00,realDonaldTrump,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN_Ÿ‡º_Ÿ‡¸ https://t.co/V3aoj9RUh4",https://twitter.com/realDonaldTrump/status/822669114237943808,TRUE
2017-01-20 18:13:48+00:00,realDonaldTrump,"TO ALL AMERICANS_Ÿ‡º_Ÿ‡¸
https://t.co/D7Es6ie4fY",https://twitter.com/realDonaldTrump/status/822507434396753921,TRUE
2017-01-20 18:00:43+00:00,realDonaldTrump,"So to all Americans, in every city near and far, small and large, from mountain to mountain...https://t.co/cZKkrGXLSi",https://twitter.com/realDonaldTrump/status/822504142178500608,TRUE
2017-01-20 17:58:24+00:00,realDonaldTrump,It is time to remember that...https://t.co/ZKyOiOor62,https://twitter.com/realDonaldTrump/status/822503558369181697,TRUE
2017-01-20 17:55:44+00:00,realDonaldTrump,"We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!
#InaugurationDay #MAGA_Ÿ‡º_Ÿ‡¸",https://twitter.com/realDonaldTrump/status/822502887477673984,TRUE
2017-01-20 17:54:36+00:00,realDonaldTrump,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,https://twitter.com/realDonaldTrump/status/822502601304526848,TRUE
2017-01-20 17:54:00+00:00,realDonaldTrump,"The forgotten men and women of our country will be forgotten no longer. From this moment on, itâ€™s going to be #AmericaFirst_Ÿ‡º_Ÿ‡¸",https://twitter.com/realDonaldTrump/status/822502450007515137,TRUE
2017-01-20 17:53:17+00:00,realDonaldTrump,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",https://twitter.com/realDonaldTrump/status/822502270503972872,TRUE
2017-01-20 17:52:45+00:00,realDonaldTrump,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",https://twitter.com/realDonaldTrump/status/822502135233384448,TRUE
2017-01-20 17:51:58+00:00,realDonaldTrump,"power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay",https://twitter.com/realDonaldTrump/status/822501939267141634,TRUE
2017-01-20 17:51:25+00:00,realDonaldTrump,"Today we are not merely transferring power from one Administration to another, or from one party to another â€“ but we are transferring...",https://twitter.com/realDonaldTrump/status/822501803615014918,TRUE
2017-01-20 12:31:53+00:00,realDonaldTrump,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,https://twitter.com/realDonaldTrump/status/822421390125043713,TRUE
2017-01-23 17:33:07+00:00,POTUS,"TOGETHER we can save American JOBS, American LIVES, and American FUTURES. 
#AmericaFirst_Ÿ‡º_Ÿ‡¸ https://t.co/EWgWWs6noT",https://twitter.com/POTUS/status/823584358271434753,TRUE
2017-01-23 12:00:43+00:00,POTUS,Busy week planned with a heavy focus on jobs &amp; national security. Top executives coming in at 9 A.M. to talk manufacturing in America. -DJT,https://twitter.com/POTUS/status/823500708204998656,TRUE
2017-01-23 04:03:44+00:00,POTUS,"NO DREAM is too big, NO CHALLENGE is too great. Nothing we want for our future is BEYOND OUR REACH. #AmericaFirst_Ÿ‡º_Ÿ‡¸ https://t.co/BGuVX4C1LH",https://twitter.com/POTUS/status/823380672463208448,TRUE
2017-01-23 01:19:10+00:00,POTUS,RT @VP: Law enforcement worked tirelessly to secure the inauguration. Today the President &amp; I thanked them during a reception at The @Whiteâ€_,https://twitter.com/POTUS/status/823339257284755470,TRUE
2017-01-22 22:31:20+00:00,POTUS,It was an honor to host our amazing teams of law enforcement at the @WhiteHouse this afternoon. @VP Pence and I areâ€_ https://t.co/vSh2kRt6YI,https://twitter.com/POTUS/status/823297018605006848,TRUE
2017-01-22 20:42:40+00:00,POTUS,RT @VP: It is my distinct honor to administer the Oath of Office to this group of talented men &amp; women as Assistants to President @realDonaâ€_,https://twitter.com/POTUS/status/823269672103645189,TRUE
2017-01-22 03:00:35+00:00,POTUS,Thank you for the prayers &amp; continued blessings upon our country during the National Prayer Service this morning.â€_ https://t.co/ao2ZfS2kLh,https://twitter.com/POTUS/status/823002391951900674,TRUE
